;time;mean;std;seconds
103;17:10:00;180.2507261738447;32.84582164861062;61800
104;17:20:00;182.7959411393635;31.902147301453454;62400
105;17:30:00;179.81092660601442;26.99868619390476;63000
106;17:40:00;183.61124703249416;24.960415325458435;63600
107;17:50:00;183.43711580258017;21.010141657213474;64200
108;18:00:00;181.19835662318712;19.367136378669052;64800
109;18:10:00;176.28613366608565;24.052144888527973;65400
110;18:20:00;177.47077179532826;23.15221825966837;66000
111;18:30:00;169.41631398253986;22.47705549565505;66600
112;18:40:00;169.34368233635885;22.350183467110543;67200
113;18:50:00;171.2608420383751;23.6626490247469;67800
114;19:00:00;165.66921967994594;21.766503800152638;68400
115;19:10:00;163.43578862816238;22.573815817239364;69000
116;19:20:00;159.16870536416255;25.698337775544832;69600
117;19:30:00;156.46506813640673;22.255125226730595;70200
